description,elements_count,elements_resource,elements_url,id,name,record_type,url
"The Dublin Core metadata element set is common to all Omeka records, including items, files, and collections. For more information see, http://dublincore.org/documents/dces/.",15,elements,http://bigreadstjoe.omeka.net/api/elements?element_set=1,1,Dublin Core,None,http://bigreadstjoe.omeka.net/api/element_sets/1
"The item type metadata element set, consisting of all item type elements bundled with Omeka and all item type elements created by an administrator.",34,elements,http://bigreadstjoe.omeka.net/api/elements?element_set=3,3,Item Type Metadata,Item,http://bigreadstjoe.omeka.net/api/element_sets/3
